year,AverageTemperature
1981,23.84325
1982,23.219333333333335
1983,23.937083333333334
1984,24.250916666666665
1985,23.941583333333334
1986,23.948
1987,24.488166666666665
1988,24.373583333333332
1989,23.99075
1990,24.12075
1991,24.024333333333335
1992,23.962083333333332
1993,24.154083333333332
1994,24.036583333333333
1995,24.560583333333334
1996,24.110500000000002
1997,24.058083333333332
1998,24.958333333333332
1999,24.36991666666667
2000,24.410333333333334
2001,24.427083333333332
2002,24.790916666666668
2003,24.867166666666666
2004,24.216166666666666
2005,24.414583333333333
2006,24.138416666666668
2007,24.241583333333335
2008,24.266333333333332
2009,24.325083333333332
2010,24.44025
2011,24.15075
2012,24.24008333333333
2013,24.06072222222222
1841,13.088333333333333
1842,12.955166666666667
1843,13.335666666666667
1844,12.604000000000001
1845,13.159
1846,13.434833333333334
1847,13.032666666666668
1848,12.584916666666667
1849,12.302083333333334
1850,12.751625
1851,12.969333333333333
1852,12.718583333333333
1853,12.505583333333334
1854,12.840833333333334
1855,12.2775
1856,13.3965
1857,13.435916666666667
1858,13.595333333333333
1859,13.174916666666666
1860,13.289083333333334
1861,13.17675
1862,13.499666666666666
1863,12.956333333333333
1864,13.009500000000001
1865,12.779666666666667
1866,13.356333333333334
1867,13.365916666666667
1868,13.313416666666667
1869,13.183250000000001
1870,13.297416666666667
1871,13.495833333333334
1872,13.400666666666666
1873,13.474166666666667
1874,12.962166666666667
1875,13.090833333333332
1876,13.220749999999999
1877,13.095666666666666
1878,13.338916666666666
1879,13.024
1880,13.398166666666667
1881,13.0975
1882,13.338583333333332
1883,13.419
1884,12.869
1885,13.009416666666667
1886,13.026416666666666
1887,13.46675
1888,13.360083333333334
1889,13.54325
1890,13.595916666666668
1891,13.113416666666666
1892,12.932
1893,13.232000000000001
1894,13.486416666666667
1895,13.53475
1896,13.190000000000001
1897,13.106416666666666
1898,13.97475
1899,13.236083333333333
1900,12.980083333333333
1901,13.334166666666667
1902,13.346333333333334
1903,13.183083333333334
1904,13.194833333333333
1905,12.737333333333334
1906,13.411416666666666
1907,13.095
1908,13.512833333333333
1909,12.6195
1910,13.472666666666667
1911,13.131083333333333
1912,13.160166666666667
1913,13.1175
1914,14.129333333333333
1915,13.127833333333333
1916,13.017
1917,13.000666666666667
1918,13.442166666666667
1919,13.868166666666667
1920,13.252666666666666
1921,13.9595
1922,13.342833333333333
1923,13.20725
1924,12.514416666666667
1925,13.020916666666666
1926,13.476583333333334
1927,13.181166666666666
1928,13.449
1929,12.61825
1930,13.607916666666666
1931,12.7295
1932,12.886083333333334
1933,13.056583333333332
1934,13.589500000000001
1935,13.018416666666667
1936,13.257083333333334
1937,13.45125
1938,13.761583333333334
1939,13.408333333333333
1940,13.357416666666666
1941,13.1595
1942,13.693999999999999
1943,12.68175
1944,13.045416666666666
1945,13.00425
1946,12.630666666666666
1947,13.47075
1948,12.812583333333334
1949,12.424166666666666
1950,13.41975
1951,13.556416666666667
1952,12.935916666666666
1953,13.306833333333334
1954,13.320666666666668
1955,13.235916666666666
1956,13.057583333333334
1957,13.054083333333333
1958,12.992750000000001
1959,13.786416666666666
1960,13.173583333333333
1961,14.328083333333334
1962,13.546416666666667
1963,13.511666666666667
1964,12.88425
1965,13.318333333333333
1966,13.1045
1967,13.515666666666666
1968,13.616583333333333
1969,13.385916666666667
1970,13.124416666666667
1971,13.58025
1972,13.729916666666666
1973,13.688583333333334
1974,13.816333333333333
1975,13.898666666666667
1976,13.547083333333333
1977,13.50275
1978,13.479916666666666
1979,13.902083333333334
1980,14.123333333333333
1981,14.2555
1982,14.025333333333332
1983,13.716999999999999
1984,13.247666666666667
1985,13.695833333333333
1986,13.18675
1987,13.467083333333333
1988,14.528416666666667
1989,13.860666666666667
1990,14.158416666666666
1991,13.76675
1992,13.3075
1993,13.805416666666668
1994,13.519166666666667
1995,13.140333333333334
1996,13.046416666666666
1997,13.933416666666666
1998,13.607666666666667
1999,14.198166666666667
2000,14.320083333333333
2001,14.18
2002,14.075833333333334
2003,13.985583333333334
2004,13.742083333333333
2005,14.378499999999999
2006,13.991083333333334
2007,14.991833333333334
2008,14.110583333333333
2009,14.647416666666667
2010,14.231666666666667
2011,14.190916666666666
2012,14.268666666666666
2013,14.756666666666666
1841,16.564666666666668
1842,16.574916666666667
1843,16.87858333333333
1844,16.218916666666665
1845,16.6435
1846,17.069
1847,16.603749999999998
1848,16.248416666666667
1849,16.08375
1850,16.35925
1851,16.603833333333334
1852,16.392083333333332
1853,16.1015
1854,16.4765
1855,16.900583333333334
1856,16.755
1857,16.687583333333333
1858,17.043916666666668
1859,16.264916666666668
1860,16.33025
1861,16.721666666666668
1862,16.898333333333333
1863,16.529583333333335
1864,16.366833333333332
1865,16.750333333333334
1866,16.9585
1867,17.376916666666666
1868,16.962
1869,16.90925
1870,16.838
1871,16.753416666666666
1872,16.705416666666668
1873,16.778666666666666
1874,16.754583333333333
1875,16.950083333333332
1876,17.2965
1877,17.042833333333334
1878,17.236416666666667
1879,16.312666666666665
1880,16.654583333333335
1881,16.628333333333334
1882,17.028583333333334
1883,16.462083333333332
1884,16.864583333333332
1885,16.94525
1886,16.88275
1887,16.658333333333335
1888,16.7175
1889,17.173916666666667
1890,16.7655
1891,16.74475
1892,16.602
1893,16.66525
1894,16.826583333333332
1895,16.8475
1896,16.85425
1897,17.075083333333332
1898,17.035916666666665
1899,17.063
1900,16.9845
1901,16.864583333333332
1902,16.976666666666667
1903,16.868666666666666
1904,16.577916666666667
1905,16.570166666666665
1906,16.924083333333332
1907,16.867916666666666
1908,16.67425
1909,16.466833333333334
1910,16.92925
1911,16.854666666666667
1912,17.096166666666665
1913,17.226166666666668
1914,17.874666666666666
1915,17.306583333333332
1916,16.966083333333334
1917,16.548416666666668
1918,16.563416666666665
1919,17.507583333333333
1920,16.648916666666665
1921,17.149916666666666
1922,17.215083333333332
1923,17.202583333333333
1924,16.645166666666665
1925,16.550666666666665
1926,17.25075
1927,16.419083333333333
1928,17.39725
1929,16.688333333333333
1930,17.097916666666666
1931,16.855666666666668
1932,16.96625
1933,16.758
1934,16.88525
1935,16.546833333333332
1936,16.78558333333333
1937,16.972583333333333
1938,17.393
1939,17.333916666666667
1940,17.640916666666666
1941,16.86025
1942,17.299916666666668
1943,16.3125
1944,16.98925
1945,16.886916666666668
1946,17.041666666666668
1947,16.94275
1948,16.422416666666667
1949,16.551583333333333
1950,17.14025
1951,16.734416666666668
1952,16.82775
1953,16.733666666666668
1954,16.933833333333332
1955,16.994916666666665
1956,16.644000000000002
1957,17.0565
1958,17.4095
1959,17.225083333333334
1960,16.677416666666666
1961,16.860500000000002
1962,16.742333333333335
1963,16.925416666666667
1964,16.964666666666666
1965,16.998083333333334
1966,16.644666666666666
1967,16.854583333333334
1968,17.274416666666667
1969,17.182833333333335
1970,16.7825
1971,16.84275
1972,17.025666666666666
1973,17.812083333333334
1974,16.977916666666665
1975,17.34133333333333
1976,17.009416666666667
1977,17.335250000000002
1978,17.162583333333334
1979,17.556
1980,17.995083333333334
1981,17.49375
1982,17.295333333333332
1983,17.468
1984,16.905666666666665
1985,17.092666666666666
1986,17.060833333333335
1987,17.366333333333333
1988,17.88725
1989,17.258333333333333
1990,17.4665
1991,17.848
1992,16.8915
1993,17.423416666666668
1994,17.357666666666667
1995,16.948999999999998
1996,17.046083333333332
1997,17.511
1998,18.04975
1999,17.546916666666668
2000,17.567416666666666
2001,17.8545
2002,17.733833333333333
2003,17.592333333333332
2004,17.869666666666667
2005,18.028083333333335
2006,17.7495
2007,18.020833333333332
2008,17.321083333333334
2009,18.175833333333333
2010,17.999
2011,17.713333333333335
2012,17.474333333333334
2013,18.002111111111113
1796,25.348666666666666
1797,25.493
1798,25.6475
1799,25.608416666666667
1800,25.542666666666666
1801,25.578916666666668
1802,25.978166666666667
1803,25.732166666666668
1804,26.045416666666668
1805,25.642666666666667
1806,25.55666666666667
1807,24.96875
1808,19.82754918
1809,18.86302459
1810,17.8985
1811,16.93397541
1812,15.96945082
1813,24.89816666666667
1814,24.791041666666665
1815,24.427083333333332
1816,24.19425
1817,24.213416666666667
1818,24.26225
1819,24.0055
1820,24.328833333333336
1821,25.257166666666667
1822,25.457166666666666
1823,25.101333333333333
1824,25.644666666666666
1825,25.44258333333333
1826,25.463
1827,25.662333333333333
1828,25.24075
1829,25.051583333333333
1830,25.37575
1831,24.793333333333333
1832,25.059874999999998
1833,25.231666666666666
1834,25.00875
1835,23.978416666666668
1836,25.042916666666667
1837,24.90025
1838,24.848333333333333
1839,24.892833333333332
1840,25.2805
1841,25.3775
1842,25.041416666666667
1843,25.09958333333333
1844,24.670916666666667
1845,24.85075
1846,25.026083333333332
1847,24.702416666666668
1848,24.7265
1849,24.70916666666667
1850,25.230083333333333
1851,25.205416666666665
1852,24.90575
1853,25.389
1854,25.399333333333335
1855,25.33416666666667
1856,24.893833333333333
1857,24.622333333333334
1858,25.21816666666667
1859,25.27825
1860,25.014
1861,24.93725
1862,21.490833333333335
1863,25.1515
1864,24.982083333333332
1865,25.356749999999998
1866,25.461583333333333
1867,25.427666666666667
1868,25.07075
1869,25.050166666666666
1870,25.125
1871,25.35075
1872,25.347916666666666
1873,25.350833333333334
1874,25.1465
1875,25.22125
1876,25.140916666666666
1877,25.07675
1878,25.817583333333335
1879,25.78775
1880,25.181833333333334
1881,25.2135
1882,25.466
1883,24.971166666666665
1884,24.82525
1885,25.323333333333334
1886,25.394833333333334
1887,25.113166666666668
1888,25.245166666666666
1889,25.848
1890,25.209833333333332
1891,25.289333333333335
1892,25.37366666666667
1893,24.551083333333334
1894,25.440833333333334
1895,25.386333333333333
1896,25.8385
1897,25.886666666666667
1898,25.484833333333334
1899,25.291166666666665
1900,25.942166666666665
1901,25.722416666666668
1902,25.426916666666667
1903,25.594250000000002
1904,25.335083333333333
1905,24.751666666666665
1906,25.511583333333334
1907,25.375583333333335
1908,25.51975
1909,25.60183333333333
1910,25.18225
1911,25.2245
1912,25.394666666666666
1913,25.112166666666667
1914,25.279666666666667
1915,25.803333333333335
1916,25.5625
1917,25.221666666666668
1918,25.12875
1919,25.6365
1920,25.56875
1921,25.488583333333334
1922,25.770416666666666
1923,25.565166666666666
1924,25.918666666666667
1925,25.175250000000002
1926,25.514666666666667
1927,25.44575
1928,25.701083333333333
1929,25.441833333333335
1930,25.373166666666666
1931,25.77316666666667
1932,25.85125
1933,25.431166666666666
1934,25.4765
1935,25.707916666666666
1936,25.579166666666666
1937,25.325333333333333
1938,25.708333333333332
1939,25.934416666666667
1940,25.668916666666668
1941,25.933583333333335
1942,25.88275
1943,25.647666666666666
1944,25.6325
1945,25.44525
1946,25.624666666666666
1947,25.877583333333334
1948,25.731416666666668
1949,25.355249999999998
1950,25.706416666666666
1951,26.047833333333333
1952,25.84875
1953,26.059083333333334
1954,25.858166666666666
1955,25.740166666666667
1956,25.6335
1957,25.946666666666665
1958,26.5335
1959,25.624833333333335
1960,26.110583333333334
1961,25.722
1962,25.70775
1963,25.8155
1964,26.050083333333333
1965,25.753333333333334
1966,26.174666666666667
1967,25.7035
1968,25.665333333333333
1969,25.910416666666666
1970,25.902916666666666
1971,25.270916666666665
1972,25.887583333333332
1973,25.91325
1974,25.68025
1975,25.768583333333332
1976,25.935833333333335
1977,25.805833333333332
1978,25.71625
1979,26.4455
1980,25.992916666666666
1981,25.52241666666667
1982,25.796833333333332
1983,25.803333333333335
1984,25.700916666666668
1985,26.162666666666667
1986,26.030833333333334
1987,26.398666666666667
1988,26.367666666666665
1989,26.04525
1990,25.97825
1991,25.84766666666667
1992,25.857416666666666
1993,25.733666666666668
1994,25.90625
1995,26.08716666666667
1996,26.152250000000002
1997,25.551833333333335
1998,26.12858333333333
1999,26.314166666666665
2000,25.90525
2001,25.93125
2002,26.095
2003,25.927416666666666
2004,26.136083333333332
2005,26.193333333333335
2006,26.440416666666668
2007,25.951333333333334
2008,26.0045
2009,26.535583333333335
2010,26.64816666666667
2011,25.80325
2012,26.283583333333333
2013,26.503444444444444
1832,20.30741666666667
1833,21.29
1834,20.583166666666667
1835,19.98875
1836,20.210250000000002
1837,19.65266666666667
1838,20.093833333333333
1839,19.893583333333332
1840,20.571666666666665
1841,20.258416666666665
1842,20.691166666666668
1843,20.828416666666666
1844,22.872429411666666
1845,22.930452940833334
1846,22.988476470833334
1847,23.0465
1848,23.104523529166666
1849,23.162547059166666
1850,23.220570588333334
1851,20.800833333333333
1852,20.96025
1853,20.975833333333334
1854,21.064083333333333
1855,21.103083333333334
1856,20.136083333333332
1857,20.621
1858,19.786416666666668
1859,20.43
1860,21.130666666666666
1861,20.342583333333334
1862,20.30375
1863,20.333333333333332
1864,20.328166666666668
1865,20.236250000000002
1866,20.4355
1867,20.60725
1868,21.461083333333335
1869,21.401666666666667
1870,21.377
1871,21.071416666666668
1872,20.996333333333332
1873,21.217083333333335
1874,20.576833333333333
1875,20.142666666666667
1876,20.392416666666666
1877,21.126833333333334
1878,21.551916666666667
1879,20.197583333333334
1880,21.17941666666667
1881,20.611666666666668
1882,20.053
1883,20.289666666666665
1884,20.169
1885,21.050583333333336
1886,20.30525
1887,20.796416666666666
1888,21.165583333333334
1889,21.40475
1890,20.63041666666667
1891,20.825666666666667
1892,20.6175
1893,20.011333333333333
1894,20.888583333333333
1895,20.671833333333332
1896,20.7035
1897,20.65175
1898,20.89825
1899,21.169249999999998
1900,20.942
1901,20.736916666666666
1902,21.237166666666667
1903,20.999916666666667
1904,20.0305
1905,21.2855
1906,20.930833333333332
1907,20.634
1908,20.945083333333333
1909,20.564083333333333
1910,20.80675
1911,20.702749999999998
1912,20.72975
1913,21.039
1914,21.457583333333332
1915,21.455083333333334
1916,20.830666666666666
1917,20.017
1918,20.515083333333333
1919,20.906833333333335
1920,20.790583333333334
1921,20.647166666666667
1922,21.15125
1923,20.7945
1924,20.699666666666666
1925,20.7715
1926,21.05425
1927,21.13158333333333
1928,21.43225
1929,21.121083333333335
1930,21.266750000000002
1931,20.993166666666667
1932,21.54083333333333
1933,20.4845
1934,21.108249999999998
1935,21.270583333333335
1936,21.372166666666665
1937,21.04075
1938,21.256833333333333
1939,21.385833333333334
1940,21.4675
1941,21.488583333333334
1942,21.16
1943,20.736583333333332
1944,21.099833333333333
1945,20.766333333333332
1946,21.548083333333334
1947,20.843666666666667
1948,21.1415
1949,20.725833333333334
1950,21.114833333333333
1951,21.1295
1952,21.137999999999998
1953,21.167833333333334
1954,21.646083333333333
1955,20.946583333333333
1956,20.671583333333334
1957,20.961916666666667
1958,21.4925
1959,21.902749999999997
1960,21.025583333333334
1961,21.6925
1962,20.736583333333332
1963,21.951
1964,20.731083333333334
1965,21.31925
1966,21.40825
1967,21.529
1968,20.51125
1969,21.662166666666668
1970,21.427083333333332
1971,21.021166666666666
1972,21.606083333333334
1973,21.868
1974,21.136083333333332
1975,20.925833333333333
1976,21.072416666666665
1977,21.677
1978,20.942333333333334
1979,20.872333333333334
1980,21.62875
1981,21.1895
1982,21.497833333333332
1983,21.483666666666668
1984,22.136916666666668
1985,21.39425
1986,21.836666666666666
1987,22.053833333333333
1988,21.627
1989,21.132833333333334
1990,21.876666666666665
1991,21.42975
1992,21.3545
1993,21.941416666666665
1994,21.912916666666668
1995,22.071666666666665
1996,21.561083333333332
1997,21.905166666666666
1998,22.35225
1999,21.58983333333333
2000,21.694916666666668
2001,22.1415
2002,22.497333333333334
2003,22.078916666666665
2004,21.588583333333332
2005,22.054666666666666
2006,21.817916666666665
2007,22.189333333333334
2008,21.857916666666668
2009,22.24875
2010,22.116333333333333
2011,21.7405
2012,22.1615
2013,21.546277777777778
1832,20.9145
1833,21.72525
1834,21.303166666666666
1835,20.594583333333333
1836,20.902166666666666
1837,20.475083333333334
1838,20.744416666666666
1839,20.6915
1840,21.165333333333333
1841,20.9315
1842,21.34
1843,21.467916666666667
1844,22.551411765
1845,22.542941176666666
1846,22.534470588333335
1847,22.526
1848,22.517529411666665
1849,22.509058823333334
1850,22.500588235
1851,21.4055
1852,21.480416666666667
1853,21.488166666666665
1854,21.606583333333333
1855,21.627666666666666
1856,20.857583333333334
1857,21.084583333333335
1858,20.72675
1859,21.274833333333333
1860,21.614833333333333
1861,21.04825
1862,20.92625
1863,21.161916666666666
1864,21.04625
1865,21.049583333333334
1866,21.212416666666666
1867,21.395166666666668
1868,21.849083333333333
1869,21.894666666666666
1870,21.78325
1871,21.589833333333335
1872,21.546416666666666
1873,21.837
1874,21.363
1875,20.836
1876,21.144166666666667
1877,21.816416666666665
1878,22.110500000000002
1879,21.005833333333335
1880,21.594333333333335
1881,21.35025
1882,20.928416666666667
1883,21.011583333333334
1884,20.900083333333335
1885,21.57
1886,21.050416666666667
1887,21.419
1888,21.723166666666668
1889,21.865083333333335
1890,21.221166666666665
1891,21.361583333333332
1892,21.21275
1893,20.799500000000002
1894,21.46966666666667
1895,21.401833333333332
1896,21.487583333333333
1897,21.389916666666668
1898,21.548666666666666
1899,21.557916666666667
1900,21.832
1901,21.838
1902,21.79475
1903,21.649083333333333
1904,20.5655
1905,22.00225
1906,21.54325
1907,21.351166666666668
1908,21.704333333333334
1909,21.3355
1910,21.67941666666667
1911,21.360333333333333
1912,21.3455
1913,21.67275
1914,22.018583333333332
1915,22.2055
1916,21.533
1917,20.730416666666667
1918,21.211333333333332
1919,21.62325
1920,21.251583333333333
1921,21.231583333333333
1922,21.721916666666665
1923,21.223833333333335
1924,21.472083333333334
1925,21.413833333333333
1926,21.98725
1927,21.784083333333335
1928,22.094083333333334
1929,21.723583333333334
1930,21.698916666666666
1931,21.751416666666668
1932,22.21366666666667
1933,21.537
1934,21.858083333333333
1935,22.051666666666666
1936,22.16058333333333
1937,22.019000000000002
1938,21.9815
1939,22.191833333333335
1940,22.098666666666666
1941,22.22925
1942,21.768416666666667
1943,21.304583333333333
1944,21.794916666666666
1945,21.447166666666668
1946,22.109666666666666
1947,21.578166666666668
1948,21.807083333333335
1949,21.45225
1950,21.422833333333333
1951,21.7495
1952,21.82133333333333
1953,21.905
1954,22.110583333333334
1955,21.838833333333334
1956,21.40908333333333
1957,21.594916666666666
1958,22.043833333333332
1959,22.36975
1960,21.663083333333333
1961,22.197583333333334
1962,21.721333333333334
1963,22.3605
1964,21.536166666666666
1965,21.907166666666665
1966,21.754833333333334
1967,21.853083333333334
1968,21.250166666666665
1969,22.349666666666668
1970,22.121833333333335
1971,21.771916666666666
1972,22.266750000000002
1973,22.634
1974,21.815916666666666
1975,21.758583333333334
1976,21.731749999999998
1977,22.207166666666666
1978,21.658916666666666
1979,21.816583333333334
1980,22.130166666666668
1981,21.691416666666665
1982,22.207833333333333
1983,22.127083333333335
1984,22.2915
1985,21.813499999999998
1986,22.153
1987,22.683833333333332
1988,22.143666666666665
1989,21.917083333333334
1990,22.40325
1991,21.967666666666666
1992,21.837416666666666
1993,22.508916666666668
1994,22.55366666666667
1995,22.462
1996,22.45475
1997,22.231666666666666
1998,23.27766666666667
1999,22.504666666666665
2000,22.456166666666668
2001,22.565333333333335
2002,23.1755
2003,22.749
2004,22.606583333333333
2005,22.73675
2006,22.349166666666665
2007,22.998
2008,22.595333333333333
2009,22.663
2010,23.035166666666665
2011,22.387166666666666
2012,22.843583333333335
2013,22.8545
1845,26.4035
1846,26.993833333333335
1847,26.361833333333333
1848,26.3675
1849,26.4215
1850,26.308333333333334
1851,26.48375
1852,26.452333333333332
1853,26.46966666666667
1854,26.613
1855,26.669083333333333
1856,26.240583333333333
1857,27.366814404166668
1858,27.3092409975
1859,27.25166759
1860,27.1940941825
1861,27.136520775833333
1862,27.07894736833333
1863,27.021373960833333
1864,26.963800554166667
1865,26.906227146666666
1866,26.84865374
1867,26.791080331666667
1868,26.733506925833332
1869,26.675933518333334
1870,26.61836011
1871,26.560786704166667
1872,26.503213295833334
1873,26.44563989
1874,26.388066481666666
1875,26.330493074166668
1876,26.272919668333333
1877,26.21534626
1878,26.157772853333334
1879,26.100199445833333
1880,26.042626039166667
1881,25.985052631666665
1882,25.927479224166667
1883,25.8699058175
1884,25.81233241
1885,25.7547590025
1886,25.697185595833332
1887,26.331
1888,26.548
1889,26.70375
1890,26.387999999999998
1891,26.30525
1892,26.38158333333333
1893,26.2685
1894,26.574416666666668
1895,26.512333333333334
1896,26.62816666666667
1897,26.360083333333336
1898,26.8135
1899,25.962333333333333
1900,27.307166666666667
1901,26.817166666666665
1902,26.807833333333335
1903,26.8425
1904,26.194166666666668
1905,26.5835
1906,26.427083333333332
1907,26.829583333333332
1908,27.263083333333334
1909,27.032666666666668
1910,26.605249999999998
1911,26.63458333333333
1912,26.347166666666666
1913,26.37366666666667
1914,26.53975
1915,27.815083333333334
1916,26.477166666666665
1917,26.005583333333334
1918,26.544333333333334
1919,27.409166666666668
1920,26.812333333333335
1921,26.30775
1922,26.42725
1923,26.57425
1924,26.25225
1925,26.52166666666667
1926,26.82375
1927,26.925916666666666
1928,27.182583333333334
1929,26.726416666666665
1930,27.041166666666665
1931,27.41283333333333
1932,27.57775
1933,26.99375
1934,26.57425
1935,26.717
1936,27.008583333333334
1937,27.288416666666667
1938,27.06158333333333
1939,26.965583333333335
1940,26.787333333333333
1941,27.41775
1942,27.491583333333335
1943,26.862
1944,26.690333333333335
1945,26.6575
1946,26.91725
1947,26.844833333333334
1948,26.887416666666667
1949,26.843583333333335
1950,26.61225
1951,27.27225
1952,27.127333333333333
1953,27.332916666666666
1954,27.099249999999998
1955,26.90775
1956,26.937666666666665
1957,27.010583333333333
1958,27.696416666666668
1959,27.02541666666667
1960,27.08525
1961,27.08025
1962,27.349249999999998
1963,26.967666666666666
1964,26.567166666666665
1965,27.006166666666665
1966,27.297583333333332
1967,26.77525
1968,26.874916666666667
1969,27.21216666666667
