year,AverageTemperature,Latitude,Longitude
2008,15.47925,34.56,70.05
2009,15.093333333333334,34.56,70.05
2010,15.676,34.56,70.05
2011,15.812166666666666,34.56,70.05
2012,14.510333333333334,34.56,70.05
2013,17.172,34.56,70.05
1856,24.018689393333332,8.84,13.78
1857,22.74489394,8.84,13.78
1858,23.085458333333335,8.84,13.78
1859,23.3135,8.84,13.78
1860,23.102208333333333,8.84,13.78
1861,22.928166666666666,8.84,13.78
1862,24.786874046666668,8.84,13.78
1863,25.013641220833332,8.84,13.78
1864,25.043137405,8.84,13.78
1865,25.0726335875,8.84,13.78
1866,25.10212977,8.84,13.78
1867,25.131625955,8.84,13.78
1868,25.1611221375,8.84,13.78
1869,25.19061832,8.84,13.78
1870,25.220114505,8.84,13.78
1871,25.249610686666667,8.84,13.78
1872,25.27910687,8.84,13.78
1873,23.5590521625,8.84,13.78
1874,23.38825,8.84,13.78
1875,23.02875,8.84,13.78
1876,23.515041666666665,8.84,13.78
1877,23.563583333333334,8.84,13.78
1878,23.596916666666665,8.84,13.78
1879,22.642416666666666,8.84,13.78
1880,22.24175,8.84,13.78
1881,22.61675,8.84,13.78
1882,23.003333333333334,8.84,13.78
1883,23.008166666666668,8.84,13.78
1884,22.806083333333333,8.84,13.78
1885,23.532,8.84,13.78
1886,23.46291666666667,8.84,13.78
1887,22.88,8.84,13.78
1888,23.017916666666665,8.84,13.78
1889,23.844083333333334,8.84,13.78
1890,22.509,8.84,13.78
1891,22.701583333333332,8.84,13.78
1892,22.831166666666665,8.84,13.78
1893,23.460583333333332,8.84,13.78
1894,23.258499999999998,8.84,13.78
1895,23.398083333333332,8.84,13.78
1896,23.453166666666668,8.84,13.78
1897,23.530333333333335,8.84,13.78
1898,23.099416666666666,8.84,13.78
1899,23.481333333333332,8.84,13.78
1900,23.589833333333335,8.84,13.78
1901,23.680583333333335,8.84,13.78
1902,23.522166666666667,8.84,13.78
1903,23.45975,8.84,13.78
1904,22.716666666666665,8.84,13.78
1905,23.446583333333333,8.84,13.78
1906,23.2455,8.84,13.78
1907,22.9875,8.84,13.78
1908,23.1885,8.84,13.78
1909,23.684666666666665,8.84,13.78
1910,23.5355,8.84,13.78
1911,22.9355,8.84,13.78
1912,23.873083333333334,8.84,13.78
1913,23.611166666666666,8.84,13.78
1914,23.343916666666665,8.84,13.78
1915,23.502666666666666,8.84,13.78
1916,23.957583333333332,8.84,13.78
1917,23.53325,8.84,13.78
1918,22.96425,8.84,13.78
1919,22.942666666666668,8.84,13.78
1920,23.5505,8.84,13.78
1921,23.750416666666666,8.84,13.78
1922,23.346083333333333,8.84,13.78
1923,23.382416666666668,8.84,13.78
1924,24.076,8.84,13.78
1925,23.564666666666668,8.84,13.78
1926,23.916916666666665,8.84,13.78
1927,23.78483333333333,8.84,13.78
1928,23.975166666666667,8.84,13.78
1929,23.533583333333333,8.84,13.78
1930,23.33475,8.84,13.78
1931,23.97775,8.84,13.78
1932,23.48,8.84,13.78
1933,23.741583333333335,8.84,13.78
1934,24.240166666666667,8.84,13.78
1935,23.7815,8.84,13.78
1936,23.516750000000002,8.84,13.78
1937,24.113333333333333,8.84,13.78
1938,23.701833333333333,8.84,13.78
1939,23.555833333333332,8.84,13.78
1940,23.501916666666666,8.84,13.78
1941,23.949666666666666,8.84,13.78
1942,23.638916666666667,8.84,13.78
1943,23.229416666666665,8.84,13.78
1944,24.277,8.84,13.78
1945,24.201,8.84,13.78
1946,23.842,8.84,13.78
1947,24.25575,8.84,13.78
1948,23.678333333333335,8.84,13.78
1949,24.231749999999998,8.84,13.78
1950,23.764916666666668,8.84,13.78
1951,23.921583333333334,8.84,13.78
1952,23.93425,8.84,13.78
1953,23.611083333333333,8.84,13.78
1954,23.24416666666667,8.84,13.78
1955,23.482666666666667,8.84,13.78
1956,23.40225,8.84,13.78
1957,23.967166666666667,8.84,13.78
1958,23.49425,8.84,13.78
1959,23.901833333333332,8.84,13.78
1960,23.978166666666667,8.84,13.78
1961,23.751166666666666,8.84,13.78
1962,23.780833333333334,8.84,13.78
1963,24.108916666666666,8.84,13.78
1964,23.692083333333333,8.84,13.78
1965,23.623833333333334,8.84,13.78
1966,23.976166666666668,8.84,13.78
1967,23.646416666666667,8.84,13.78
1968,23.494166666666665,8.84,13.78
1969,24.012916666666666,8.84,13.78
1970,23.9225,8.84,13.78
1971,23.673583333333333,8.84,13.78
1972,23.56525,8.84,13.78
1973,24.340666666666667,8.84,13.78
1974,23.603833333333334,8.84,13.78
1975,23.62633333333333,8.84,13.78
1976,23.381,8.84,13.78
1977,24.120583333333332,8.84,13.78
1978,23.75,8.84,13.78
1979,24.130666666666666,8.84,13.78
1980,23.9875,8.84,13.78
1981,23.84325,8.84,13.78
1982,23.219333333333335,8.84,13.78
1983,23.937083333333334,8.84,13.78
1984,24.250916666666665,8.84,13.78
1985,23.941583333333334,8.84,13.78
1986,23.948,8.84,13.78
1987,24.488166666666665,8.84,13.78
1988,24.373583333333332,8.84,13.78
1989,23.99075,8.84,13.78
1990,24.12075,8.84,13.78
1991,24.024333333333335,8.84,13.78
1992,23.962083333333332,8.84,13.78
1993,24.154083333333332,8.84,13.78
1994,24.036583333333333,8.84,13.78
1995,24.560583333333334,8.84,13.78
1996,24.110500000000002,8.84,13.78
1997,24.058083333333332,8.84,13.78
1998,24.958333333333332,8.84,13.78
1999,24.36991666666667,8.84,13.78
2000,24.410333333333334,8.84,13.78
2001,24.427083333333332,8.84,13.78
2002,24.790916666666668,8.84,13.78
2003,24.867166666666666,8.84,13.78
2004,24.216166666666666,8.84,13.78
2005,24.414583333333333,8.84,13.78
2006,24.138416666666668,8.84,13.78
2007,24.241583333333335,8.84,13.78
2008,24.266333333333332,8.84,13.78
2009,24.325083333333332,8.84,13.78
2010,24.44025,8.84,13.78
2011,24.15075,8.84,13.78
2012,24.24008333333333,8.84,13.78
2013,24.06072222222222,8.84,13.78
1841,13.088333333333333,37.78,144.41
1842,12.955166666666667,37.78,144.41
1843,13.335666666666667,37.78,144.41
1844,12.604000000000001,37.78,144.41
1845,13.159,37.78,144.41
1846,13.434833333333334,37.78,144.41
1847,13.032666666666668,37.78,144.41
1848,12.584916666666667,37.78,144.41
1849,12.302083333333334,37.78,144.41
1850,12.751625,37.78,144.41
1851,12.969333333333333,37.78,144.41
1852,12.718583333333333,37.78,144.41
1853,12.505583333333334,37.78,144.41
1854,12.840833333333334,37.78,144.41
1855,12.2775,37.78,144.41
1856,13.3965,37.78,144.41
1857,13.435916666666667,37.78,144.41
1858,13.595333333333333,37.78,144.41
1859,13.174916666666666,37.78,144.41
1860,13.289083333333334,37.78,144.41
1861,13.17675,37.78,144.41
1862,13.499666666666666,37.78,144.41
1863,12.956333333333333,37.78,144.41
1864,13.009500000000001,37.78,144.41
1865,12.779666666666667,37.78,144.41
1866,13.356333333333334,37.78,144.41
1867,13.365916666666667,37.78,144.41
1868,13.313416666666667,37.78,144.41
1869,13.183250000000001,37.78,144.41
1870,13.297416666666667,37.78,144.41
1871,13.495833333333334,37.78,144.41
1872,13.400666666666666,37.78,144.41
1873,13.474166666666667,37.78,144.41
1874,12.962166666666667,37.78,144.41
1875,13.090833333333332,37.78,144.41
1876,13.220749999999999,37.78,144.41
1877,13.095666666666666,37.78,144.41
1878,13.338916666666666,37.78,144.41
1879,13.024,37.78,144.41
1880,13.398166666666667,37.78,144.41
1881,13.0975,37.78,144.41
1882,13.338583333333332,37.78,144.41
1883,13.419,37.78,144.41
1884,12.869,37.78,144.41
1885,13.009416666666667,37.78,144.41
1886,13.026416666666666,37.78,144.41
1887,13.46675,37.78,144.41
1888,13.360083333333334,37.78,144.41
1889,13.54325,37.78,144.41
1890,13.595916666666668,37.78,144.41
1891,13.113416666666666,37.78,144.41
1892,12.932,37.78,144.41
1893,13.232000000000001,37.78,144.41
1894,13.486416666666667,37.78,144.41
1895,13.53475,37.78,144.41
1896,13.190000000000001,37.78,144.41
1897,13.106416666666666,37.78,144.41
1898,13.97475,37.78,144.41
1899,13.236083333333333,37.78,144.41
1900,12.980083333333333,37.78,144.41
1901,13.334166666666667,37.78,144.41
1902,13.346333333333334,37.78,144.41
1903,13.183083333333334,37.78,144.41
1904,13.194833333333333,37.78,144.41
1905,12.737333333333334,37.78,144.41
1906,13.411416666666666,37.78,144.41
1907,13.095,37.78,144.41
1908,13.512833333333333,37.78,144.41
1909,12.6195,37.78,144.41
1910,13.472666666666667,37.78,144.41
1911,13.131083333333333,37.78,144.41
1912,13.160166666666667,37.78,144.41
1913,13.1175,37.78,144.41
1914,14.129333333333333,37.78,144.41
1915,13.127833333333333,37.78,144.41
1916,13.017,37.78,144.41
1917,13.000666666666667,37.78,144.41
1918,13.442166666666667,37.78,144.41
1919,13.868166666666667,37.78,144.41
1920,13.252666666666666,37.78,144.41
1921,13.9595,37.78,144.41
1922,13.342833333333333,37.78,144.41
1923,13.20725,37.78,144.41
1924,12.514416666666667,37.78,144.41
1925,13.020916666666666,37.78,144.41
1926,13.476583333333334,37.78,144.41
1927,13.181166666666666,37.78,144.41
1928,13.449,37.78,144.41
1929,12.61825,37.78,144.41
1930,13.607916666666666,37.78,144.41
1931,12.7295,37.78,144.41
1932,12.886083333333334,37.78,144.41
1933,13.056583333333332,37.78,144.41
1934,13.589500000000001,37.78,144.41
1935,13.018416666666667,37.78,144.41
1936,13.257083333333334,37.78,144.41
1937,13.45125,37.78,144.41
1938,13.761583333333334,37.78,144.41
1939,13.408333333333333,37.78,144.41
1940,13.357416666666666,37.78,144.41
1941,13.1595,37.78,144.41
1942,13.693999999999999,37.78,144.41
1943,12.68175,37.78,144.41
1944,13.045416666666666,37.78,144.41
1945,13.00425,37.78,144.41
1946,12.630666666666666,37.78,144.41
1947,13.47075,37.78,144.41
1948,12.812583333333334,37.78,144.41
1949,12.424166666666666,37.78,144.41
1950,13.41975,37.78,144.41
1951,13.556416666666667,37.78,144.41
1952,12.935916666666666,37.78,144.41
1953,13.306833333333334,37.78,144.41
1954,13.320666666666668,37.78,144.41
1955,13.235916666666666,37.78,144.41
1956,13.057583333333334,37.78,144.41
1957,13.054083333333333,37.78,144.41
1958,12.992750000000001,37.78,144.41
1959,13.786416666666666,37.78,144.41
1960,13.173583333333333,37.78,144.41
1961,14.328083333333334,37.78,144.41
1962,13.546416666666667,37.78,144.41
1963,13.511666666666667,37.78,144.41
1964,12.88425,37.78,144.41
1965,13.318333333333333,37.78,144.41
1966,13.1045,37.78,144.41
1967,13.515666666666666,37.78,144.41
1968,13.616583333333333,37.78,144.41
1969,13.385916666666667,37.78,144.41
1970,13.124416666666667,37.78,144.41
1971,13.58025,37.78,144.41
1972,13.729916666666666,37.78,144.41
1973,13.688583333333334,37.78,144.41
1974,13.816333333333333,37.78,144.41
1975,13.898666666666667,37.78,144.41
1976,13.547083333333333,37.78,144.41
1977,13.50275,37.78,144.41
1978,13.479916666666666,37.78,144.41
1979,13.902083333333334,37.78,144.41
1980,14.123333333333333,37.78,144.41
1981,14.2555,37.78,144.41
1982,14.025333333333332,37.78,144.41
1983,13.716999999999999,37.78,144.41
1984,13.247666666666667,37.78,144.41
1985,13.695833333333333,37.78,144.41
1986,13.18675,37.78,144.41
1987,13.467083333333333,37.78,144.41
1988,14.528416666666667,37.78,144.41
1989,13.860666666666667,37.78,144.41
1990,14.158416666666666,37.78,144.41
1991,13.76675,37.78,144.41
1992,13.3075,37.78,144.41
1993,13.805416666666668,37.78,144.41
1994,13.519166666666667,37.78,144.41
1995,13.140333333333334,37.78,144.41
1996,13.046416666666666,37.78,144.41
1997,13.933416666666666,37.78,144.41
1998,13.607666666666667,37.78,144.41
1999,14.198166666666667,37.78,144.41
2000,14.320083333333333,37.78,144.41
2001,14.18,37.78,144.41
2002,14.075833333333334,37.78,144.41
2003,13.985583333333334,37.78,144.41
2004,13.742083333333333,37.78,144.41
2005,14.378499999999999,37.78,144.41
2006,13.991083333333334,37.78,144.41
2007,14.991833333333334,37.78,144.41
2008,14.110583333333333,37.78,144.41
2009,14.647416666666667,37.78,144.41
2010,14.231666666666667,37.78,144.41
2011,14.190916666666666,37.78,144.41
2012,14.268666666666666,37.78,144.41
2013,14.756666666666666,37.78,144.41
1841,16.564666666666668,34.56,151.78
1842,16.574916666666667,34.56,151.78
1843,16.87858333333333,34.56,151.78
1844,16.218916666666665,34.56,151.78
1845,16.6435,34.56,151.78
1846,17.069,34.56,151.78
1847,16.603749999999998,34.56,151.78
1848,16.248416666666667,34.56,151.78
1849,16.08375,34.56,151.78
1850,16.35925,34.56,151.78
1851,16.603833333333334,34.56,151.78
1852,16.392083333333332,34.56,151.78
1853,16.1015,34.56,151.78
1854,16.4765,34.56,151.78
1855,16.900583333333334,34.56,151.78
1856,16.755,34.56,151.78
1857,16.687583333333333,34.56,151.78
1858,17.043916666666668,34.56,151.78
1859,16.264916666666668,34.56,151.78
1860,16.33025,34.56,151.78
1861,16.721666666666668,34.56,151.78
1862,16.898333333333333,34.56,151.78
1863,16.529583333333335,34.56,151.78
1864,16.366833333333332,34.56,151.78
1865,16.750333333333334,34.56,151.78
1866,16.9585,34.56,151.78
1867,17.376916666666666,34.56,151.78
1868,16.962,34.56,151.78
1869,16.90925,34.56,151.78
1870,16.838,34.56,151.78
1871,16.753416666666666,34.56,151.78
1872,16.705416666666668,34.56,151.78
1873,16.778666666666666,34.56,151.78
1874,16.754583333333333,34.56,151.78
1875,16.950083333333332,34.56,151.78
1876,17.2965,34.56,151.78
1877,17.042833333333334,34.56,151.78
1878,17.236416666666667,34.56,151.78
1879,16.312666666666665,34.56,151.78
1880,16.654583333333335,34.56,151.78
1881,16.628333333333334,34.56,151.78
1882,17.028583333333334,34.56,151.78
1883,16.462083333333332,34.56,151.78
1884,16.864583333333332,34.56,151.78
1885,16.94525,34.56,151.78
1886,16.88275,34.56,151.78
1887,16.658333333333335,34.56,151.78
1888,16.7175,34.56,151.78
1889,17.173916666666667,34.56,151.78
1890,16.7655,34.56,151.78
1891,16.74475,34.56,151.78
1892,16.602,34.56,151.78
1893,16.66525,34.56,151.78
1894,16.826583333333332,34.56,151.78
1895,16.8475,34.56,151.78
1896,16.85425,34.56,151.78
1897,17.075083333333332,34.56,151.78
1898,17.035916666666665,34.56,151.78
1899,17.063,34.56,151.78
1900,16.9845,34.56,151.78
1901,16.864583333333332,34.56,151.78
1902,16.976666666666667,34.56,151.78
1903,16.868666666666666,34.56,151.78
1904,16.577916666666667,34.56,151.78
1905,16.570166666666665,34.56,151.78
1906,16.924083333333332,34.56,151.78
1907,16.867916666666666,34.56,151.78
1908,16.67425,34.56,151.78
1909,16.466833333333334,34.56,151.78
1910,16.92925,34.56,151.78
1911,16.854666666666667,34.56,151.78
1912,17.096166666666665,34.56,151.78
1913,17.226166666666668,34.56,151.78
1914,17.874666666666666,34.56,151.78
1915,17.306583333333332,34.56,151.78
1916,16.966083333333334,34.56,151.78
1917,16.548416666666668,34.56,151.78
1918,16.563416666666665,34.56,151.78
1919,17.507583333333333,34.56,151.78
1920,16.648916666666665,34.56,151.78
1921,17.149916666666666,34.56,151.78
1922,17.215083333333332,34.56,151.78
1923,17.202583333333333,34.56,151.78
1924,16.645166666666665,34.56,151.78
1925,16.550666666666665,34.56,151.78
1926,17.25075,34.56,151.78
1927,16.419083333333333,34.56,151.78
1928,17.39725,34.56,151.78
1929,16.688333333333333,34.56,151.78
1930,17.097916666666666,34.56,151.78
1931,16.855666666666668,34.56,151.78
1932,16.96625,34.56,151.78
1933,16.758,34.56,151.78
1934,16.88525,34.56,151.78
1935,16.546833333333332,34.56,151.78
1936,16.78558333333333,34.56,151.78
1937,16.972583333333333,34.56,151.78
1938,17.393,34.56,151.78
1939,17.333916666666667,34.56,151.78
1940,17.640916666666666,34.56,151.78
1941,16.86025,34.56,151.78
1942,17.299916666666668,34.56,151.78
1943,16.3125,34.56,151.78
1944,16.98925,34.56,151.78
1945,16.886916666666668,34.56,151.78
1946,17.041666666666668,34.56,151.78
1947,16.94275,34.56,151.78
1948,16.422416666666667,34.56,151.78
1949,16.551583333333333,34.56,151.78
1950,17.14025,34.56,151.78
1951,16.734416666666668,34.56,151.78
1952,16.82775,34.56,151.78
1953,16.733666666666668,34.56,151.78
1954,16.933833333333332,34.56,151.78
1955,16.994916666666665,34.56,151.78
1956,16.644000000000002,34.56,151.78
1957,17.0565,34.56,151.78
1958,17.4095,34.56,151.78
1959,17.225083333333334,34.56,151.78
1960,16.677416666666666,34.56,151.78
1961,16.860500000000002,34.56,151.78
1962,16.742333333333335,34.56,151.78
1963,16.925416666666667,34.56,151.78
1964,16.964666666666666,34.56,151.78
1965,16.998083333333334,34.56,151.78
1966,16.644666666666666,34.56,151.78
1967,16.854583333333334,34.56,151.78
1968,17.274416666666667,34.56,151.78
1969,17.182833333333335,34.56,151.78
1970,16.7825,34.56,151.78
1971,16.84275,34.56,151.78
1972,17.025666666666666,34.56,151.78
1973,17.812083333333334,34.56,151.78
1974,16.977916666666665,34.56,151.78
1975,17.34133333333333,34.56,151.78
1976,17.009416666666667,34.56,151.78
1977,17.335250000000002,34.56,151.78
1978,17.162583333333334,34.56,151.78
1979,17.556,34.56,151.78
1980,17.995083333333334,34.56,151.78
1981,17.49375,34.56,151.78
1982,17.295333333333332,34.56,151.78
1983,17.468,34.56,151.78
1984,16.905666666666665,34.56,151.78
1985,17.092666666666666,34.56,151.78
1986,17.060833333333335,34.56,151.78
1987,17.366333333333333,34.56,151.78
1988,17.88725,34.56,151.78
1989,17.258333333333333,34.56,151.78
1990,17.4665,34.56,151.78
1991,17.848,34.56,151.78
1992,16.8915,34.56,151.78
1993,17.423416666666668,34.56,151.78
1994,17.357666666666667,34.56,151.78
1995,16.948999999999998,34.56,151.78
1996,17.046083333333332,34.56,151.78
1997,17.511,34.56,151.78
1998,18.04975,34.56,151.78
1999,17.546916666666668,34.56,151.78
2000,17.567416666666666,34.56,151.78
2001,17.8545,34.56,151.78
2002,17.733833333333333,34.56,151.78
2003,17.592333333333332,34.56,151.78
2004,17.869666666666667,34.56,151.78
2005,18.028083333333335,34.56,151.78
2006,17.7495,34.56,151.78
2007,18.020833333333332,34.56,151.78
2008,17.321083333333334,34.56,151.78
2009,18.175833333333333,34.56,151.78
2010,17.999,34.56,151.78
2011,17.713333333333335,34.56,151.78
2012,17.474333333333334,34.56,151.78
2013,18.002111111111113,34.56,151.78
1796,25.348666666666666,23.31,90.0
1797,25.493,23.31,90.0
1798,25.6475,23.31,90.0
1799,25.608416666666667,23.31,90.0
1800,25.542666666666666,23.31,90.0
1801,25.578916666666668,23.31,90.0
1802,25.978166666666667,23.31,90.0
1803,25.732166666666668,23.31,90.0
1804,26.045416666666668,23.31,90.0
1805,25.642666666666667,23.31,90.0
1806,25.55666666666667,23.31,90.0
1807,24.96875,23.31,90.0
1808,19.82754918,23.31,90.0
1809,18.86302459,23.31,90.0
1810,17.8985,23.31,90.0
1811,16.93397541,23.31,90.0
1812,15.96945082,23.31,90.0
1813,24.89816666666667,23.31,90.0
1814,24.791041666666665,23.31,90.0
1815,24.427083333333332,23.31,90.0
1816,24.19425,23.31,90.0
1817,24.213416666666667,23.31,90.0
1818,24.26225,23.31,90.0
1819,24.0055,23.31,90.0
1820,24.328833333333336,23.31,90.0
1821,25.257166666666667,23.31,90.0
1822,25.457166666666666,23.31,90.0
1823,25.101333333333333,23.31,90.0
1824,25.644666666666666,23.31,90.0
1825,25.44258333333333,23.31,90.0
1826,25.463,23.31,90.0
1827,25.662333333333333,23.31,90.0
1828,25.24075,23.31,90.0
1829,25.051583333333333,23.31,90.0
1830,25.37575,23.31,90.0
1831,24.793333333333333,23.31,90.0
1832,25.059874999999998,23.31,90.0
1833,25.231666666666666,23.31,90.0
1834,25.00875,23.31,90.0
1835,23.978416666666668,23.31,90.0
1836,25.042916666666667,23.31,90.0
1837,24.90025,23.31,90.0
1838,24.848333333333333,23.31,90.0
1839,24.892833333333332,23.31,90.0
1840,25.2805,23.31,90.0
1841,25.3775,23.31,90.0
1842,25.041416666666667,23.31,90.0
1843,25.09958333333333,23.31,90.0
1844,24.670916666666667,23.31,90.0
1845,24.85075,23.31,90.0
1846,25.026083333333332,23.31,90.0
1847,24.702416666666668,23.31,90.0
1848,24.7265,23.31,90.0
1849,24.70916666666667,23.31,90.0
1850,25.230083333333333,23.31,90.0
1851,25.205416666666665,23.31,90.0
1852,24.90575,23.31,90.0
1853,25.389,23.31,90.0
1854,25.399333333333335,23.31,90.0
1855,25.33416666666667,23.31,90.0
1856,24.893833333333333,23.31,90.0
1857,24.622333333333334,23.31,90.0
1858,25.21816666666667,23.31,90.0
1859,25.27825,23.31,90.0
1860,25.014,23.31,90.0
1861,24.93725,23.31,90.0
1862,21.490833333333335,23.31,90.0
1863,25.1515,23.31,90.0
1864,24.982083333333332,23.31,90.0
1865,25.356749999999998,23.31,90.0
1866,25.461583333333333,23.31,90.0
1867,25.427666666666667,23.31,90.0
1868,25.07075,23.31,90.0
1869,25.050166666666666,23.31,90.0
1870,25.125,23.31,90.0
1871,25.35075,23.31,90.0
1872,25.347916666666666,23.31,90.0
1873,25.350833333333334,23.31,90.0
1874,25.1465,23.31,90.0
1875,25.22125,23.31,90.0
1876,25.140916666666666,23.31,90.0
1877,25.07675,23.31,90.0
1878,25.817583333333335,23.31,90.0
1879,25.78775,23.31,90.0
1880,25.181833333333334,23.31,90.0
1881,25.2135,23.31,90.0
1882,25.466,23.31,90.0
1883,24.971166666666665,23.31,90.0
1884,24.82525,23.31,90.0
